Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-10-09,10390.2998046875,10397.599609375,10279.349609375,10301.0498046875,430500,0,0
2018-10-10,10331.849609375,10482.349609375,10318.25,10460.099609375,0,0,0
2018-10-11,10169.7998046875,10335.9501953125,10138.599609375,10234.650390625,483500,0,0
2018-10-12,10331.5498046875,10492.4501953125,10322.150390625,10472.5,343500,0,0
2018-10-15,10524.2001953125,10526.2998046875,10410.150390625,10512.5,259500,0,0
2018-10-16,10550.150390625,10604.900390625,10525.2998046875,10584.75,265200,0,0
2018-10-17,10688.7001953125,10710.150390625,10436.4501953125,10453.0498046875,284800,0,0
2018-10-19,10339.7001953125,10380.099609375,10249.599609375,10303.5498046875,357500,0,0
2018-10-22,10405.849609375,10408.5498046875,10224.0,10245.25,297300,0,0
2018-10-23,10152.599609375,10222.099609375,10102.349609375,10146.7998046875,302600,0,0
2018-10-24,10278.150390625,10290.650390625,10126.7001953125,10224.75,351400,0,0
2018-10-25,10135.0498046875,10166.599609375,10079.2998046875,10124.900390625,0,0,0
2018-10-26,10122.349609375,10128.849609375,10004.5498046875,10030.0,364300,0,0
2018-10-29,10078.099609375,10275.2998046875,10020.349609375,10250.849609375,364400,0,0
2018-10-30,10239.400390625,10285.099609375,10175.349609375,10198.400390625,289800,0,0
2018-10-31,10209.5498046875,10396.0,10105.099609375,10386.599609375,375000,0,0
2018-11-01,10441.7001953125,10441.900390625,10341.900390625,10380.4501953125,348500,0,0
2018-11-02,10462.2998046875,10606.9501953125,10457.7001953125,10553.0,421200,0,0
2018-11-05,10558.75,10558.7998046875,10477.0,10524.0,301900,0,0
2018-11-06,10552.0,10600.25,10491.4501953125,10530.0,0,0,0
2018-11-07,10614.4501953125,10616.4501953125,10582.2998046875,10598.400390625,31200,0,0
2018-11-09,10614.7001953125,10619.5498046875,10544.849609375,10585.2001953125,296600,0,0
2018-11-12,10607.7998046875,10645.5,10464.0498046875,10482.2001953125,259700,0,0
2018-11-13,10451.900390625,10596.25,10440.5498046875,10582.5,254600,0,0
2018-11-14,10634.900390625,10651.599609375,10532.7001953125,10576.2998046875,384500,0,0
2018-11-15,10580.599609375,10646.5,10557.5,10616.7001953125,0,0,0
2018-11-16,10644.0,10695.150390625,10631.150390625,10682.2001953125,342800,0,0
2018-11-19,10731.25,10774.7001953125,10688.7998046875,10763.400390625,272100,0,0
2018-11-20,10740.099609375,10740.849609375,10640.849609375,10656.2001953125,295200,0,0
2018-11-21,10670.9501953125,10671.2998046875,10562.349609375,10600.0498046875,300900,0,0
2018-11-22,10612.650390625,10646.25,10512.0,10526.75,239500,0,0
2018-11-26,10568.2998046875,10637.7998046875,10489.75,10628.599609375,0,0,0
2018-11-27,10621.4501953125,10695.150390625,10596.349609375,10685.599609375,0,0,0
2018-11-28,10708.75,10757.7998046875,10699.849609375,10728.849609375,424500,0,0
2018-11-29,10808.7001953125,10883.0498046875,10782.349609375,10858.7001953125,691300,0,0
2018-11-30,10892.099609375,10922.4501953125,10835.099609375,10876.75,453900,0,0
2018-12-03,10930.7001953125,10941.2001953125,10845.349609375,10883.75,409700,0,0
2018-12-04,10877.099609375,10890.9501953125,10833.349609375,10869.5,322100,0,0
2018-12-05,10820.4501953125,10821.0498046875,10747.9501953125,10782.900390625,312300,0,0
2018-12-06,10718.150390625,10722.650390625,10588.25,10601.150390625,318500,0,0
2018-12-07,10644.7998046875,10704.5498046875,10599.349609375,10693.7001953125,325800,0,0
2018-12-10,10508.7001953125,10558.849609375,10474.9501953125,10488.4501953125,381300,0,0
2018-12-11,10350.0498046875,10567.150390625,10333.849609375,10549.150390625,425500,0,0
2018-12-12,10591.0,10752.2001953125,10560.7998046875,10737.599609375,360500,0,0
2018-12-13,10810.75,10838.599609375,10749.5,10791.5498046875,376200,0,0
2018-12-14,10784.5,10815.75,10752.099609375,10805.4501953125,340100,0,0
2018-12-17,10853.2001953125,10900.349609375,10844.849609375,10888.349609375,296900,0,0
2018-12-18,10850.900390625,10915.400390625,10819.099609375,10908.7001953125,286100,0,0
2018-12-19,10930.5498046875,10985.150390625,10928.0,10967.2998046875,312100,0,0
2018-12-20,10885.2001953125,10962.5498046875,10880.0498046875,10951.7001953125,318900,0,0
2018-12-21,10944.25,10963.650390625,10738.650390625,10754.0,377500,0,0
2018-12-24,10780.900390625,10782.2998046875,10649.25,10663.5,223400,0,0
2018-12-26,10635.4501953125,10747.5,10534.5498046875,10729.849609375,263700,0,0
2018-12-27,10817.900390625,10834.2001953125,10764.4501953125,10779.7998046875,456100,0,0
2018-12-28,10820.9501953125,10893.599609375,10817.150390625,10859.900390625,245500,0,0
2018-12-31,10913.2001953125,10923.5498046875,10853.2001953125,10862.5498046875,180900,0,0
2019-01-02,10868.849609375,10895.349609375,10735.0498046875,10792.5,309700,0,0
2019-01-03,10796.7998046875,10814.0498046875,10661.25,10672.25,286200,0,0
2019-01-04,10699.7001953125,10741.0498046875,10628.650390625,10727.349609375,296600,0,0
2019-01-07,10804.849609375,10835.9501953125,10750.150390625,10771.7998046875,269400,0,0
2019-01-08,10786.25,10818.4501953125,10733.25,10802.150390625,277700,0,0
2019-01-09,10862.400390625,10870.400390625,10749.400390625,10855.150390625,333000,0,0
2019-01-10,10859.349609375,10859.349609375,10801.7998046875,10821.599609375,254400,0,0
2019-01-11,10834.75,10850.150390625,10739.400390625,10794.9501953125,260800,0,0
2019-01-14,10807.0,10808.0,10692.349609375,10737.599609375,298800,0,0
2019-01-15,10777.5498046875,10896.9501953125,10777.5498046875,10886.7998046875,310700,0,0
2019-01-16,10899.650390625,10928.150390625,10876.900390625,10890.2998046875,276500,0,0
2019-01-17,10920.849609375,10930.650390625,10844.650390625,10905.2001953125,271700,0,0
2019-01-18,10914.849609375,10928.2001953125,10852.2001953125,10906.9501953125,323800,0,0
2019-01-21,10919.349609375,10987.4501953125,10885.75,10961.849609375,288800,0,0
2019-01-22,10949.7998046875,10949.7998046875,10864.150390625,10922.75,300800,0,0
2019-01-23,10931.0498046875,10944.7998046875,10811.9501953125,10831.5,298900,0,0
2019-01-24,10844.0498046875,10866.599609375,10798.650390625,10849.7998046875,361100,0,0
2019-01-25,10859.75,10931.7001953125,10756.4501953125,10780.5498046875,463400,0,0
2019-01-28,10792.4501953125,10804.4501953125,10630.9501953125,10661.5498046875,419700,0,0
2019-01-29,10653.7001953125,10690.349609375,10583.650390625,10652.2001953125,356900,0,0
2019-01-30,10702.25,10710.2001953125,10612.849609375,10651.7998046875,410100,0,0
2019-01-31,10690.5498046875,10838.0498046875,10678.5498046875,10830.9501953125,604800,0,0
2019-02-01,10851.349609375,10983.4501953125,10813.4501953125,10893.650390625,482300,0,0
